story_code,story_name,plot_summary_25_50_words,author_code,in_what_order_are_the_investigation_and_reveal_portions_provided,name_of_detective_number_1,detective_number_1_gender,detective_number_1_role,name_of_detective_number_2,detective_number_2_gender,detective_number_2_role,name_of_assistant_number_1,assistant_number_1_gender,assistant_number_1_role,name_of_assistant_number_2,assistant_number_2_gender,assistant_number_2_role,more_than_two_assistants_if_yes_enter_total_number,number_of_victims_of_gender_male,number_of_victims_of_gender_female,number_of_culprits_of_gender_male,number_of_culprits_of_gender_female,number_of_culprits_of_gender_non_binary,number_of_culprits_of_gender_unknown,are_one_or_more_culprits_introduced_into_the_story_only_during_the_reveal,the_main_culprit,who_initiates_the_detectives_investigation,what_is_the_role_of_the_police_force_in_solving_the_crime,the_storys_main_action_focuses_on_a,when_do_es_the_crime_s_mystery_being_investigated_occur,types_of_crimes_or_quasi_crimes_present_in_story,motives,means_murder_only,does_the_story_provide_sufficient_clues_in_sufficient_detail_to_allow_an_alert_reader_to_correctly_guess_the_solution_before_the_reveal,does_the_story_provide_sufficient_clues_in_sufficient_detail_to_allow_an_alert_reader_to_definitively_solve_the_crime_before_the_reveal,did_either_annotator_personally_correctly_guess_the_solution_to_the_crime_before_the_reveal,types_of_clues,what_is_the_essential_clue_in_the_story_if_present,of_what_type_is_the_essential_clue_if_present,what_is_the_most_salient_clue_in_the_story_if_clues_are_present,of_what_type_is_the_most_salient_clue_if_clues_are_present,describe_the_main_red_herring_if_present,of_what_type_is_the_main_red_herring_if_present,presence_of_planted_or_fabricated_evidence,types_of_evidence_made_available_in_the_story,is_the_crime_solved,does_the_detective_pointedly_and_independently_decide_not_to_alert_the_authorities_to_the_facts_of_the_crime_despite_the_fact_that_an_actionable_crime_has_been_committed,do_you_receive_a_satisfying_narrative_of_account_of_the_crime_s_in_all_their_relevant_details_and_a_summary_of_the_process_by_which_the_crime_s_are_solved,how_satisfying_is_this_story_as_a_piece_of_detective_fiction,would_you_recommend_this_story_to_a_friend,crime_trajectory,what_is_the_reveal_border_sentence,surname_s,given_name_s,sex,year_of_birth,country_of_birth,city_town_of_birth,date_of_death_yyyy_mm_dd,country_of_death,city_town_of_death,nationality_ies,viaf,story_url,date_of_first_publication_yyyy_mm_dd,format_of_first_publication_journal_or_book,name_of_journal_or_title_of_book,text_words,before_reveal_words,after_reveal_words,title_words,unique,year_published
HLB06,Lady Frances Carfax,"Watson is sent to Switzerland to investigate the mysterious disappearance of Lady Frances Carfax, who disappeared along with a collection of silver and diamond jewelry. When Watson fails to perform adequately, Holmes steps in to continue the investigation and find the missing woman.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,1,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are present and actively interfere with or hinder the solution of the crime,Crime,"Before the investigation, During the investigation","Murder, Theft, Kidnapping",Greed,Asphyxiation,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- newly usable clue (illegible → usable)",The coffin being 'out of the ordinary',Physical clue,Conducting a funeral so soon after the disappearance of Lady Carfax,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,No qrime → qrime,As we did so there came from the inside a stupefying and overpowering smell of chloroform.,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/lady.html,1911-12-01,Journal,The Strand,7665,7010,641,20,FALSE,1911
RSH11,The Adventure of the Missing Three-Quarter,"When a valuable rugby player disappears suddenly, Holmes delves into a case surrounding a hefty inheritance and a suspicious doctor only to find out that some things are perhaps much simpler than expected.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,0,0,0,0,0,No,NA,A private client,Police are not present,Quasi-crime,Before the investigation,Kidnapping,"Greed, Pride",NA,No,No,No,"Evoked, Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- newly usable clue (illegible → usable)",The medical bills,Physical clue,Dr. Leslie Armstrong's suspicious behaviour,Testimonial clue,The fact that the perceived victim was the heir to a large fortune and may have been taken for ransom.,Testimonial clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,Qrime → no qrime,"A woman, young and beautiful, was lying dead upon the bed.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,NA,NA,NA,NA,8006,8006,823,43,FALSE,NA
RSH12,The Adventure of the Abbey Grange,"Sherlock Holmes investigates the murder of Sir Eustace Brackenstall, who was killed and robbed in his home. Poor Lady Brackenstall witnessed the murder as three robbers broke into their home, tied her up, and killed her husband. Holmes quickly learns that things aren't always as they seem.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,2,2,2,0,0,Yes,Acts together with one or more equal partners,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Murder, Theft, Fraud, Assault","Greed, Revenge, Jealousy, Love, Self-defence",Other,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",The rope that was frayed by a man who was no shorter than 6 feet 3 inches,Physical clue,The fact that the deceased was an abusive drunk,Testimonial clue,Theresa Wright’s false statement of the robbery,Testimonial clue,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,Qrime → different qrime,"So far as I am concerned I regret nothing and I fear nothing, and I would do it all again and be proud of the job.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,NA,NA,NA,NA,9141,9141,1485,34,FALSE,NA
RSH13,The Adventure of the Second Stain,"After a classified document capable of bringing strife and war to Britain inconceivably disappears, Holmes must race against the clock to retrieve the document before it falls into the wrong hands.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,3,1,2,2,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Theft, Fraud, Blackmail","Greed, Jealousy, Love, Pride, Paranoia",Knife/sword,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The second stain in the carpet,Physical clue,The suspicious behaviour of Lady Hilda Trelawney Hope,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,No,Qrime → different qrime,"I must therefore ask you, madam, to be kind enough to place it in my hands",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,NA,NA,NA,NA,9621,9621,2140,34,FALSE,NA
CBSH05,The Sussex Vampire,An English gentleman suspects his Peruvian wife of vampirism after discovering her sucking blood from their infant child.,ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,1,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,Before the investigation,"Murder, Assault",Jealousy,Poison,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The missing arrow from the quiver,Physical clue,Bad relationship between son and his step-mother,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,4,Yes,Qrime → different qrime,"“I think we can dispense with Dolores,” said Holmes.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/suss.html,1924-01-01,Journal,The Strand,5957,5149,801,19,FALSE,1924
CBSH06,The Three Garridebs,"Nathan Garrideb is contacted by an American called John Garrideb, who claims that the two of them can receive a large inheritance if they find a third adult man with the surname Garrideb.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,3,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,"During the investigation, After the investigation","Theft, Fraud, Assault, Forgery",Greed,Firearm,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","Holmes finding out that John Garrideb was actually a known criminal, Killer Evans",Physical clue,John Garrideb's fixation on making Nathan Garrideb leave his house,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,No qrime → qrime,"“This is a more serious matter than I had expected, Watson,” said he.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/3gar.html,1924-10-25,Journal,Collier's Weekly Magazine,6184,4219,1954,20,FALSE,1924
CBSH07,The Thor Bridge,"A millionaire’s wife is found dead on the grounds of his estate, and the prime suspect is the young and beautiful governess, object of the millionaire’s affections.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,1,0,1,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,"Suspected murder, Fraud",Jealousy,Firearm,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The chip in the stone on the bridge,Physical clue,The wife tells the governess to burn the note she gave her and yet keeps the note that was given to her by the governess,Testimonial clue,NA,NA,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,Qrime → different qrime,"In an instant it had been whisked away by the weight of the stone, had struck with a sharp crack against the parapet, and had vanished over the side into the water.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,NA,NA,NA,NA,9818,NA,NA,16,FALSE,NA
HLB07,The Devil's Foot,Intrigue captivates detective Sherlock Holmes after a series of mysterious and usual crimes results in the death of two victims and leaves two survivors in a state of lunacy. Holmes and Watson investigate the case in hopes of finding answers surrounding the sinister circumstances that claimed the lives and sanity of the victims involved.,ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,4,1,2,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Theft","Greed, Revenge",Poison,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Residue of poisonous African plant upon shield,Physical clue,Presence of a burning element in each of the crime scenes,Physical clue,The false testimony of Mortimer Tregennis about seeing something lurking outside of the window on the night of the murders,Testimonial clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,5,Yes,Qrime → same qrime,"“You will remember, Watson,” he remarked one afternoon, “that there is a single common point of resemblance in the varying reports which have reached us.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/devi.html,1910-12-01,Journal,The Strand,9968,5899,4046,17,FALSE,1910
HLB08,His Last Bow,"With the help of an Irish-American traitor, German spies attempt to acquire confidential documents that could compromise the safety of many and threaten the national security of the United Kingdom.",ACD,Reverse,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,0,2,0,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,"Before the investigation, During the investigation","Theft, Fraud","Greed, Ideology",NA,No,No,No,Ex post -- new clue (not mentioned → usable),NA,NA,Code to the safe containing the secure documents,Testimonial clue,NA,NA,NA,Testimonial evidence,Yes,No,Yes,2,No,Qrime → same qrime,"“Another glass, Watson!” said Mr. Sherlock Holmes as he extended the bottle of Imperial Tokay",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/last.html,1917-09-01,Journal,The Strand,6050,3880,2157,13,FALSE,1917
CBSH01,The Illustrious Client,"When the lovely Violet de Merville becomes enamoured with a murderous man whose charm and hypnotic persuasion entices her to marry him, detective Sherlock Holmes is approached to take the case and stop the marriage before it is too late.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,Shinwell Johnson,Male,Independent amateur,3,3,1,1,1,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,"Before the investigation, During the investigation","Murder, Fraud, Assault","Greed, Revenge",Unknown,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",NA,NA,NA,NA,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,2,No,Qrime → same qrime,Here is the book the woman talked of,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/illu.html,1924-11-08,Journal,Collier's Weekly Magazine,9731,8996,729,23,FALSE,1924
CBSH02,The Blanched Soldier,"James M.Dodd, an army veteran, visits Holmes as he has no news from an old army friend, who had been injured during the war they fought together.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3,2,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Quasi-crime,"Before the investigation, During the investigation",Fraud,Pride,NA,Yes,Yes,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The bleached patches of skin,Physical clue,The outhouse,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,No qrime → no qrime,"“Well, it's not a long story to tell,” said he, lighting a cigarette.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/blan.html,1926-11-01,Journal,The Strand,7705,5750,1944,21,FALSE,1926
CBSH03,The Mazarin Stone,"Holmes investigates on the disappearance of a fancy jewel. He knows who the culprits are, but where is the precious stone?",ACD,Reverse,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,Billy,Male,Independent amateur,NA,2,0,3,0,0,0,Yes,Acts together with one or more equal partners,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Theft, Assault","Greed, Revenge",NA,No,No,No,Usable in real time (usable → usable),The attempted murder on the wax figure,Testimonial clue,The behaviour of Cantlemere,Testimonial clue,NA,NA,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,Qrime → same qrime,"""Where is the Count Sylvius.""",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/maza.html,1921-10-01,Journal,The Strand,5639,NA,NA,18,FALSE,1921
CBSH04,The Three Gables,"(Racism) Sherlock Holmes receives a request for help from an elderly woman after someone asks to purchase her house, and is later threatened by a thug to not get involved. Holmes decides to investigate regardless, and the mysteries behind these occurrences and their connections with her deceased son are discovered.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,1,4,2,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Theft, Blackmail, Breaking and entering, Assault","Greed, Pride",NA,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Isadora having had a relationship with the victim Douglas,Testimonial clue,The offer to buy the house,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,3,No,Qrime → same qrime,"""What is this intrusion—and this insulting message?” she asked, holding up the slip of paper.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/3gab.html,1920-10-01,Journal,The Strand,6040,4950,1077,17,FALSE,1920
ASH01,A Scandal in Bohemia,"The king of Bohemia hires Sherlock Holmes to retrieve a photograph from a woman whom he was involved with, and may use the photo to sabotage his engagement.",ACD,Other,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,0,0,1,0,0,No,Acts alone,A private client,Police are not present,Quasi-crime,"Before the investigation, During the investigation","Fraud, Blackmail","Revenge, Pride",NA,NA,NA,NA,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",Irene attempting to protect the photograph,Physical clue,The photograph of Irene and the King,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,Qrime → same qrime,NA,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/scan.html,1891-07-01,Journal,The Strand,8512,NA,NA,21,FALSE,1891
ASH05,The Five Orange Pips,"A man’s uncle and father both die under mysterious circumstances, starting with the uncle passing away seven weeks after being mailed 5 orange seeds and an envelope with the letters “K.K.K” written in red. Holmes must figure out what happened before it is too late for the son!",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,3,0,3,0,0,0,Yes,Acts on behalf of a crime syndicate,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation",Murder,"Revenge, Ideology",Unknown,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",Locations from which the letters were sent,Physical clue,The letter received with the orange pips and the letters K.K.K,Physical clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,No,4,Yes,No qrime → qrime,"He took an orange from the cupboard, and tearing it to pieces he squeezed out the pips upon the table.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/five.html,1891-11-01,Journal,The Strand,7307,6732,557,21,FALSE,1891
ASH06,The Man with the Twisted Lip,"With a wealthy man’s sudden disappearance, his floating jacket full of pennies, and a beggar with a crooked lip, Sherlock Holmes comes across one of his most bizarre cases —  only to discover that sometimes things are actually much simpler than they seem.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,0,1,0,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,Before the investigation,"Suspected murder, Fraud","Greed, Pride",NA,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible)",Signet ring and handwritten letter,Physical clue,Coat in the water (with pennies),Testimonial clue,The coat in the wharf,Testimonial clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,Qrime → different qrime,"“Let me introduce you,” he shouted, “to Mr. Neville St. Clair, of Lee, in the county of Kent.”",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/twis.html,1891-12-01,Journal,The Strand,9192,7602,1574,29,FALSE,1891
CBSH11,Shoscombe Old Place,"After a notorious gambler sells his beloved sister’s favorite dog and is seen frequenting a crypto at inexplicable times, Holmes steps in to make sense of the affairs at Shoscombe place.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,0,2,1,0,0,No,Acts mostly alone with some assistance,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,"Before the investigation, During the investigation","Suspected murder, Fraud, Mischief","Greed, Pride, Paranoia",NA,Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The dog 'misrecognizing' its owner,Physical clue,Graverobbing your own ancestors,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,Qrime → different qrime,"Sir Robert gave him a glance of contempt. “I will take all responsibility,” said he. “Now, Mr. Holmes, listen to a plain statement of the facts.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/shos.html,1927-03-01,Journal,Liberty,6230,5406,800,20,FALSE,1927
CBSH12,The Retired Colourman,"When Mr. Amberly inquires regarding the whereabouts of his wife and her lover after having been robbed by them, Holmes initially dismisses the simple case. However, after hearing about the men’s obsessive painting behaviours, the detective finds it to be a case actually much more intricate.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,1,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,"Before the investigation, During the investigation","Murder, Theft, Fraud","Revenge, Jealousy",Poison,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",Paint and its fumes,Testimonial clue,Husband's suspicious behaviour,Physical clue,NA,NA,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,Qrime → different qrime,"“I'll show you first how it was done, and then I will give the explanation which is due to you, and even more to my long-suffering friend here, who has been invaluable throughout.",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/reti.html,1926-12-18,Journal,Liberty,5498,4007,1460,22,FALSE,1926
CBSH08,The Creeping Man,"After his attempted proposal to much younger woman, an esteemed professor grows erratic and begins to summon the hostility of his once-loyal dog.",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,A private client,Police are not present,NA,"Before the investigation, During the investigation",NA,NA,NA,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The various primate-like traits that the professor develops,Physical clue,The 9-day interval of the professor's weird outbursts,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,No qrime → no qrime,We shall have the chance of seeing for ourselves.,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/cree.html,1923-03-01,Journal,The Strand,7648,6169,1472,17,FALSE,1923
CBSH09,The Lion's Mane,"Near his seaside villa, Sherlock Holmes encounters a science master, Fitzroy McPherson, whose back is covered with long, painful wounds. McPherson only manages to say one thing before his agonizing death: “the Lion’s Mane.”",ACD,Standard,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,Harold Stackhurst,Male,Independent amateur,NA,NA,NA,NA,2,0,0,0,0,0,NA,NA,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Before the investigation, During the investigation",Suspected murder,Jealousy,Natural causes,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- newly usable clue (illegible → usable)","The last words of the ""victim"": ""the lion's mane""",Testimonial clue,the dog's death near the pool,Physical clue,The dry towel,Physical clue,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,Qrime → no qrime,"“It has done mischief enough. Its day is over!” I cried. “Help me, Stackhurst! Let us end the murderer forever.”",Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/lion.html,1926-11-27,Journal,Liberty,7171,6060,1093,16,FALSE,1926
CBSH10,The Veiled Lodger,"A reclusive woman who keeps her face veiled at all times summons Sherlock Holmes to complete a kind of confession. Her current state is related to a past case, the death by lion of a circus proprietor.",ACD,Other,Sherlock Holmes,Male,Independent amateur,NA,NA,NA,John Watson,Male,Independent amateur,NA,NA,NA,NA,1,1,1,1,0,0,NA,Acts together with one or more equal partners,A private client,Police are not present,Crime,Before the investigation,"Murder, Assault","Revenge, Jealousy, Love",Blunt force trauma,NA,NA,NA,Usable in real time (usable → usable),NA,NA,NA,NA,NA,NA,"Planted, Fabricated","Testimonial evidence, Physical evidence",No,Yes,Yes,1,No,Qrime → same qrime,NA,Concan Doyle,Arthur,M,1859-05-22,Scotland,Edinburgh,1930-07-07,England,Crowborough,"British, Scottish",https://viaf.org/viaf/65283845/,https://sherlock-holm.es/stories/html/veil.html,1927-01-22,Journal,Liberty,6230,NA,NA,18,FALSE,1927
MHI01,The Lenton Croft Robberies,Many women have been robbed in the Leston Croft household. The theft only leaves one clue: a match.,AM,Standard,Martin Hewitt,Male,Independent professional (solo),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Before the investigation,Theft,Greed,NA,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",the match left behind,Physical clue,The alibi of Lloyd,Testimonial clue,NA,NA,NA,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,Qrime → same qrime,"""This is the person who will be charged, I think,"" Hewitt pursued, addressing the officers, and indicating Lloyd with his finger.",Morrison,Arthur,M,1863-11-01,England,London,1945-12-04,England,Chalfont St. Peter,"British, English",https://viaf.org/viaf/27069152/,https://www.gutenberg.org/files/11252/11252-h/11252-h.htm#CH1,1894-03-01,Journal,The Strand,8991,8991,2072,27,FALSE,1894
